"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Dec 31 09:48:32 BRST 2021","Fri Dec 31 09:48:32 BRST 2021","18","","PaymentBrokenRecordDeletion.OasDbPaymentBrokenRecordDeletion_1ien7vzmp20rm","","PaymentBrokenRecordDeletion.OasDbPaymentBrokenRecordDeletion_1ien7vzmp20rm","test_t4a1fayu3c6c_updatecharge","test_t4a1fayu3c6c_updatecharge",""
"passed","Fri Dec 31 09:51:07 BRST 2021","Fri Dec 31 09:51:07 BRST 2021","18","","PaymentBrokenRecordDeletion.OasDbPaymentBrokenRecordDeletion_tnz1bfir1f7b","","PaymentBrokenRecordDeletion.OasDbPaymentBrokenRecordDeletion_tnz1bfir1f7b","test_r1a1g8yx79dj_createcharge","test_r1a1g8yx79dj_createcharge",""
"failed","Fri Dec 31 09:50:27 BRST 2021","Fri Dec 31 09:50:27 BRST 2021","17","","PaymentBrokenRecordDeletion.OasDbPaymentBrokenRecordDeletion_tnz1bfir1f7b","","PaymentBrokenRecordDeletion.OasDbPaymentBrokenRecordDeletion_tnz1bfir1f7b","test_1hbfxzdaqcggy_createcharge","test_1hbfxzdaqcggy_createcharge",""
"failed","Fri Dec 31 09:53:37 BRST 2021","Fri Dec 31 09:53:37 BRST 2021","14","","PaymentBrokenRecordDeletion.OasDbPaymentBrokenRecordDeletion_u88gcidz1205","","PaymentBrokenRecordDeletion.OasDbPaymentBrokenRecordDeletion_u88gcidz1205","test_1jeo9wtaeij51_updatecharge","test_1jeo9wtaeij51_updatecharge",""
"failed","Fri Dec 31 09:56:28 BRST 2021","Fri Dec 31 09:56:28 BRST 2021","14","","PaymentBrokenRecordDeletion.OasDbPaymentBrokenRecordDeletion_1ieuyvkm8h8bl","","PaymentBrokenRecordDeletion.OasDbPaymentBrokenRecordDeletion_1ieuyvkm8h8bl","test_1iexqngg9zuwp_createcharge","test_1iexqngg9zuwp_createcharge",""
"passed","Fri Dec 31 09:54:33 BRST 2021","Fri Dec 31 09:54:33 BRST 2021","14","","PaymentBrokenRecordDeletion.OasDbPaymentBrokenRecordDeletion_u88gcidz1205","","PaymentBrokenRecordDeletion.OasDbPaymentBrokenRecordDeletion_u88gcidz1205","test_ubmf9x3iruwk_deletecharge","test_ubmf9x3iruwk_deletecharge",""
"passed","Fri Dec 31 10:06:07 BRST 2021","Fri Dec 31 10:06:07 BRST 2021","12","","PaymentBrokenRecordDeletion.OasDbPaymentBrokenRecordDeletion_1k1wpkn45e5o1","","PaymentBrokenRecordDeletion.OasDbPaymentBrokenRecordDeletion_1k1wpkn45e5o1","test_u7ok2d3psg8l_deletecharge","test_u7ok2d3psg8l_deletecharge",""
"passed","Fri Dec 31 09:55:45 BRST 2021","Fri Dec 31 09:55:45 BRST 2021","13","","PaymentBrokenRecordDeletion.OasDbPaymentBrokenRecordDeletion_r1a14w4jkmsh","","PaymentBrokenRecordDeletion.OasDbPaymentBrokenRecordDeletion_r1a14w4jkmsh","test_sohe18zrmtdj_readcharge","test_sohe18zrmtdj_readcharge",""
"passed","Fri Dec 31 10:04:44 BRST 2021","Fri Dec 31 10:04:44 BRST 2021","13","","PaymentBrokenRecordDeletion.OasDbPaymentBrokenRecordDeletion_1ji4h4smhyofq","","PaymentBrokenRecordDeletion.OasDbPaymentBrokenRecordDeletion_1ji4h4smhyofq","test_to1u9gnc7zu9_deletecharge","test_to1u9gnc7zu9_deletecharge",""
"failed","Fri Dec 31 09:56:23 BRST 2021","Fri Dec 31 09:56:23 BRST 2021","13","","PaymentBrokenRecordDeletion.OasDbPaymentBrokenRecordDeletion_1ieuyvkm8h8bl","","PaymentBrokenRecordDeletion.OasDbPaymentBrokenRecordDeletion_1ieuyvkm8h8bl","test_1ib0gy85yewc4_createcharge","test_1ib0gy85yewc4_createcharge",""
