"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Dec 31 07:09:15 BRST 2021","Fri Dec 31 07:09:15 BRST 2021","13","","PaymentInvalidExample.OasDbPaymentInvalidExample_s13cw02qubmp","","PaymentInvalidExample.OasDbPaymentInvalidExample_s13cw02qubmp","test_vbt0xewycy0k_createcharge","test_vbt0xewycy0k_createcharge",""
"passed","Fri Dec 31 07:06:15 BRST 2021","Fri Dec 31 07:06:15 BRST 2021","46","","PaymentInvalidExample.OasDbPaymentInvalidExample_trwwx2mdyhd1","","PaymentInvalidExample.OasDbPaymentInvalidExample_trwwx2mdyhd1","test_t8cw8f192rty_createcharge","test_t8cw8f192rty_createcharge",""
"failed","Fri Dec 31 07:11:41 BRST 2021","Fri Dec 31 07:11:41 BRST 2021","13","","PaymentInvalidExample.OasDbPaymentInvalidExample_1iv6lf8xqpxyt","","PaymentInvalidExample.OasDbPaymentInvalidExample_1iv6lf8xqpxyt","test_sl668flh4njk_createcharge","test_sl668flh4njk_createcharge",""
"passed","Fri Dec 31 07:17:53 BRST 2021","Fri Dec 31 07:17:54 BRST 2021","12","","PaymentInvalidExample.OasDbPaymentInvalidExample_t4yfiohf0302","","PaymentInvalidExample.OasDbPaymentInvalidExample_t4yfiohf0302","test_t4nf2widmqsz_readcharge","test_t4nf2widmqsz_readcharge",""
"failed","Fri Dec 31 06:59:18 BRST 2021","Fri Dec 31 06:59:19 BRST 2021","793","","PaymentInvalidExample.OasDbPaymentInvalidExample_1iukwrk9msx80","","PaymentInvalidExample.OasDbPaymentInvalidExample_1iukwrk9msx80","test_1h7rhunu2m795_createcharge","test_1h7rhunu2m795_createcharge",""
"passed","Fri Dec 31 07:04:37 BRST 2021","Fri Dec 31 07:04:37 BRST 2021","14","","PaymentInvalidExample.OasDbPaymentInvalidExample_vbemkcgc6ste","","PaymentInvalidExample.OasDbPaymentInvalidExample_vbemkcgc6ste","test_to7uke14h2ya_readcharge","test_to7uke14h2ya_readcharge",""
"passed","Fri Dec 31 07:11:06 BRST 2021","Fri Dec 31 07:11:06 BRST 2021","13","","PaymentInvalidExample.OasDbPaymentInvalidExample_1iv6lf8xqpxyt","","PaymentInvalidExample.OasDbPaymentInvalidExample_1iv6lf8xqpxyt","test_1iay6n7t0spwx_deletecharge","test_1iay6n7t0spwx_deletecharge",""
"passed","Fri Dec 31 07:19:18 BRST 2021","Fri Dec 31 07:19:18 BRST 2021","12","","PaymentInvalidExample.OasDbPaymentInvalidExample_s1b56mcqefxs","","PaymentInvalidExample.OasDbPaymentInvalidExample_s1b56mcqefxs","test_ts1vhx1bvcyu_readcharge","test_ts1vhx1bvcyu_readcharge",""
"passed","Fri Dec 31 07:03:30 BRST 2021","Fri Dec 31 07:03:30 BRST 2021","15","","PaymentInvalidExample.OasDbPaymentInvalidExample_rhg1pnlf86k8","","PaymentInvalidExample.OasDbPaymentInvalidExample_rhg1pnlf86k8","test_vbpqd98jwqbb_deletecharge","test_vbpqd98jwqbb_deletecharge",""
"passed","Fri Dec 31 07:06:47 BRST 2021","Fri Dec 31 07:06:47 BRST 2021","14","","PaymentInvalidExample.OasDbPaymentInvalidExample_qxnrc40dfexy","","PaymentInvalidExample.OasDbPaymentInvalidExample_qxnrc40dfexy","test_qxiau0j0omsh_deletecharge","test_qxiau0j0omsh_deletecharge",""
