"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 31 08:19:03 BRST 2021","Fri Dec 31 08:19:03 BRST 2021","13","","PaymentPayloadWrongDataType.OasDbPaymentPayloadWrongDataType_urp3hyvulh6f","","PaymentPayloadWrongDataType.OasDbPaymentPayloadWrongDataType_urp3hyvulh6f","test_urrxm1ddbfxe_readcharge","test_urrxm1ddbfxe_readcharge",""
"failed","Fri Dec 31 08:16:30 BRST 2021","Fri Dec 31 08:16:30 BRST 2021","26","","PaymentPayloadWrongDataType.OasDbPaymentPayloadWrongDataType_1hblin1dluput","","PaymentPayloadWrongDataType.OasDbPaymentPayloadWrongDataType_1hblin1dluput","test_1h820alyon704_readcharge","test_1h820alyon704_readcharge",""
"failed","Fri Dec 31 08:12:36 BRST 2021","Fri Dec 31 08:12:36 BRST 2021","14","","PaymentPayloadWrongDataType.OasDbPaymentPayloadWrongDataType_sksd8x3z7azp","","PaymentPayloadWrongDataType.OasDbPaymentPayloadWrongDataType_sksd8x3z7azp","test_1ibh1kgxx1v06_createcharge","test_1ibh1kgxx1v06_createcharge",""
"passed","Fri Dec 31 08:21:50 BRST 2021","Fri Dec 31 08:21:50 BRST 2021","12","","PaymentPayloadWrongDataType.OasDbPaymentPayloadWrongDataType_t4yyjnz4v12q","","PaymentPayloadWrongDataType.OasDbPaymentPayloadWrongDataType_t4yyjnz4v12q","test_u7ru5n0zdd9f_deletecharge","test_u7ru5n0zdd9f_deletecharge",""
"passed","Fri Dec 31 08:13:53 BRST 2021","Fri Dec 31 08:13:54 BRST 2021","18","","PaymentPayloadWrongDataType.OasDbPaymentPayloadWrongDataType_qxtv30ic6f5h","","PaymentPayloadWrongDataType.OasDbPaymentPayloadWrongDataType_qxtv30ic6f5h","test_qhw67lgdtdgh_deletecharge","test_qhw67lgdtdgh_deletecharge",""
"passed","Fri Dec 31 08:12:10 BRST 2021","Fri Dec 31 08:12:10 BRST 2021","13","","PaymentPayloadWrongDataType.OasDbPaymentPayloadWrongDataType_sksd8x3z7azp","","PaymentPayloadWrongDataType.OasDbPaymentPayloadWrongDataType_sksd8x3z7azp","test_1h7qxl0864ab4_deletecharge","test_1h7qxl0864ab4_deletecharge",""
"failed","Fri Dec 31 08:17:30 BRST 2021","Fri Dec 31 08:17:30 BRST 2021","14","","PaymentPayloadWrongDataType.OasDbPaymentPayloadWrongDataType_1hblin1dluput","","PaymentPayloadWrongDataType.OasDbPaymentPayloadWrongDataType_1hblin1dluput","test_s4xdqqtp6qn8_createcharge","test_s4xdqqtp6qn8_createcharge",""
"failed","Fri Dec 31 08:11:13 BRST 2021","Fri Dec 31 08:11:13 BRST 2021","14","","PaymentPayloadWrongDataType.OasDbPaymentPayloadWrongDataType_u82clhjoq69f","","PaymentPayloadWrongDataType.OasDbPaymentPayloadWrongDataType_u82clhjoq69f","test_qhnt92wy06cx_updatecharge","test_qhnt92wy06cx_updatecharge",""
"passed","Fri Dec 31 08:17:05 BRST 2021","Fri Dec 31 08:17:05 BRST 2021","13","","PaymentPayloadWrongDataType.OasDbPaymentPayloadWrongDataType_1hblin1dluput","","PaymentPayloadWrongDataType.OasDbPaymentPayloadWrongDataType_1hblin1dluput","test_rhtw77hg1i03_readcharge","test_rhtw77hg1i03_readcharge",""
"passed","Fri Dec 31 08:12:21 BRST 2021","Fri Dec 31 08:12:21 BRST 2021","13","","PaymentPayloadWrongDataType.OasDbPaymentPayloadWrongDataType_sksd8x3z7azp","","PaymentPayloadWrongDataType.OasDbPaymentPayloadWrongDataType_sksd8x3z7azp","test_1hb865j64oh9e_deletecharge","test_1hb865j64oh9e_deletecharge",""
"passed","Fri Dec 31 08:11:38 BRST 2021","Fri Dec 31 08:11:38 BRST 2021","13","","PaymentPayloadWrongDataType.OasDbPaymentPayloadWrongDataType_u82clhjoq69f","","PaymentPayloadWrongDataType.OasDbPaymentPayloadWrongDataType_u82clhjoq69f","test_sl3fkc7bbbqt_deletecharge","test_sl3fkc7bbbqt_deletecharge",""
"failed","Fri Dec 31 08:08:22 BRST 2021","Fri Dec 31 08:08:22 BRST 2021","14","","PaymentPayloadWrongDataType.OasDbPaymentPayloadWrongDataType_1jy4z0xgg00mu","","PaymentPayloadWrongDataType.OasDbPaymentPayloadWrongDataType_1jy4z0xgg00mu","test_qdvire989izl_createcharge","test_qdvire989izl_createcharge",""
"passed","Fri Dec 31 08:02:32 BRST 2021","Fri Dec 31 08:02:32 BRST 2021","20","","PaymentPayloadWrongDataType.OasDbPaymentPayloadWrongDataType_1hb87phbd5eg5","","PaymentPayloadWrongDataType.OasDbPaymentPayloadWrongDataType_1hb87phbd5eg5","test_qdvj5x39fvaw_updatecharge","test_qdvj5x39fvaw_updatecharge",""
"passed","Fri Dec 31 08:18:18 BRST 2021","Fri Dec 31 08:18:18 BRST 2021","12","","PaymentPayloadWrongDataType.OasDbPaymentPayloadWrongDataType_urp3hyvulh6f","","PaymentPayloadWrongDataType.OasDbPaymentPayloadWrongDataType_urp3hyvulh6f","test_1iukwtz25pqnp_readcharge","test_1iukwtz25pqnp_readcharge",""
"passed","Fri Dec 31 08:18:43 BRST 2021","Fri Dec 31 08:18:43 BRST 2021","14","","PaymentPayloadWrongDataType.OasDbPaymentPayloadWrongDataType_urp3hyvulh6f","","PaymentPayloadWrongDataType.OasDbPaymentPayloadWrongDataType_urp3hyvulh6f","test_rhjdfr0wdjdx_readcharge","test_rhjdfr0wdjdx_readcharge",""
"passed","Fri Dec 31 08:19:52 BRST 2021","Fri Dec 31 08:19:52 BRST 2021","14","","PaymentPayloadWrongDataType.OasDbPaymentPayloadWrongDataType_qhsx7s4l8c3a","","PaymentPayloadWrongDataType.OasDbPaymentPayloadWrongDataType_qhsx7s4l8c3a","test_rhiwm0irisdt_updatecharge","test_rhiwm0irisdt_updatecharge",""
"passed","Fri Dec 31 08:01:56 BRST 2021","Fri Dec 31 08:01:56 BRST 2021","30","","PaymentPayloadWrongDataType.OasDbPaymentPayloadWrongDataType_1hb87phbd5eg5","","PaymentPayloadWrongDataType.OasDbPaymentPayloadWrongDataType_1hb87phbd5eg5","test_1h84t5wfmj039_deletecharge","test_1h84t5wfmj039_deletecharge",""
"passed","Fri Dec 31 08:10:53 BRST 2021","Fri Dec 31 08:10:53 BRST 2021","12","","PaymentPayloadWrongDataType.OasDbPaymentPayloadWrongDataType_u82clhjoq69f","","PaymentPayloadWrongDataType.OasDbPaymentPayloadWrongDataType_u82clhjoq69f","test_1ibju4qtd9u7n_readcharge","test_1ibju4qtd9u7n_readcharge",""
"passed","Fri Dec 31 08:08:47 BRST 2021","Fri Dec 31 08:08:47 BRST 2021","16","","PaymentPayloadWrongDataType.OasDbPaymentPayloadWrongDataType_1jy4z0xgg00mu","","PaymentPayloadWrongDataType.OasDbPaymentPayloadWrongDataType_1jy4z0xgg00mu","test_ubu7i45pow1j_updatecharge","test_ubu7i45pow1j_updatecharge",""
"passed","Fri Dec 31 08:21:15 BRST 2021","Fri Dec 31 08:21:15 BRST 2021","11","","PaymentPayloadWrongDataType.OasDbPaymentPayloadWrongDataType_t4yyjnz4v12q","","PaymentPayloadWrongDataType.OasDbPaymentPayloadWrongDataType_t4yyjnz4v12q","test_1iyfgs5syc112_deletecharge","test_1iyfgs5syc112_deletecharge",""
"passed","Fri Dec 31 08:08:27 BRST 2021","Fri Dec 31 08:08:27 BRST 2021","14","","PaymentPayloadWrongDataType.OasDbPaymentPayloadWrongDataType_1jy4z0xgg00mu","","PaymentPayloadWrongDataType.OasDbPaymentPayloadWrongDataType_1jy4z0xgg00mu","test_qxir9zeudxlu_deletecharge","test_qxir9zeudxlu_deletecharge",""
